Order - Number,Date - Order Date,Market - Store Name,Market - Market Order URL,Market - Markeplace Name,Amount - Shipping Cost,Amount - Order Shipping,Amount - Paid by Customer,Amount - Order Subtotal,Amount - Order Tax,Amount - Order Total,Count - Number of Items,Custom - Field 1
4053444691,5/4/2026 6:44:29 PM,Devran Custom Design,,Etsy,8.18,8.18,37.07,26.59,2.30,37.07,1,
4048203456,5/4/2026 5:50:50 PM,Etched Elegance Shop,,Etsy,7.02,8.01,48.76,38.70,2.05,48.76,2,
4048204114,5/4/2026 5:51:41 PM,Etched Elegance Shop,,Etsy,14.92,22.57,148.09,114.24,11.28,148.09,2,
4048206228,5/4/2026 5:54:16 PM,Marbella Custom Gifts,,Etsy,6.27,6.50,27.02,18.75,1.77,27.02,1,
4048245264,5/4/2026 6:42:51 PM,Lumina Custom Design,,Etsy,9.06,10.63,64.11,50.14,3.34,64.11,1,
4053420783,5/4/2026 6:16:51 PM,Etched Elegance Shop,,Etsy,7.02,8.01,47.46,36.04,3.41,47.46,2,
4048229588,5/4/2026 6:23:17 PM,Marbella Custom Gifts,,Etsy,6.80,6.88,47.93,37.50,3.55,47.93,1,
4048235730,5/4/2026 6:30:58 PM,Etched Elegance Shop,,Etsy,8.76,10.80,46.62,32.64,3.18,46.62,1,
4053439697,5/4/2026 6:38:46 PM,Etched Elegance Shop,,Etsy,6.37,8.18,35.50,24.50,2.82,35.50,1,
4053411565,5/4/2026 6:05:33 PM,Woodmark Custom,,Etsy,6.58,7.60,31.53,21.46,2.19,31.25,1,
4048262876,5/4/2026 7:04:23 PM,Woodmark Custom,,Etsy,5.40,6.98,24.05,15.39,1.68,24.05,1,
4053435551,5/4/2026 6:34:05 PM,Woodmark Custom,,Etsy,5.97,8.13,29.87,19.79,1.95,29.87,1,
4048194104,5/4/2026 5:39:21 PM,Woodmark Custom,,Etsy,5.40,6.98,32.62,24.19,1.45,32.62,1,
4053395557,5/4/2026 5:46:25 PM,Woodmark Custom,,Etsy,5.40,6.98,33.86,24.19,2.69,33.86,1,
4048315584,5/4/2026 8:06:38 PM,YemlihaDesign,,Etsy,7.69,8.18,60.70,47.89,4.63,60.70,1,
4053519379,5/4/2026 8:06:59 PM,Etched Elegance Shop,,Etsy,5.89,7.42,25.82,16.32,2.08,25.82,1,
4048295222,5/4/2026 7:43:02 PM,Etched Elegance Shop,,Etsy,11.50,12.06,34.00,19.35,2.59,34.00,1,
4048287420,5/4/2026 7:33:39 PM, Velvet Whiskey Design,,Etsy,7.38,7.38,34.41,25.08,1.95,34.41,1,
4053535961,5/4/2026 8:24:23 PM, Velvet Whiskey Design,,Etsy,9.22,9.56,36.51,23.56,3.39,36.51,2,
4048331556,5/4/2026 8:24:30 PM, Velvet Whiskey Design,,Etsy,6.37,6.37,22.27,14.44,1.46,22.27,1,
4053519671,5/4/2026 8:07:18 PM,Custom Gift by FTM,,Etsy,6.66,0.00,37.88,35.73,2.15,37.88,1,
4053522301,5/4/2026 8:10:08 PM,Custom Gift by FTM,,Etsy,5.28,5.28,19.97,13.60,1.09,19.97,1,
4053494169,5/4/2026 7:39:38 PM,Woodmark Custom,,Etsy,5.24,6.52,38.27,28.59,3.16,38.27,1,
4048325472,5/4/2026 8:17:55 PM,Woodmark Custom,,Etsy,6.37,7.42,30.71,21.46,1.83,30.71,1,
4048310474,5/4/2026 8:00:28 PM,Woodmark Custom,,Etsy,5.40,6.98,32.63,24.19,1.46,32.63,1,
4053505443,5/4/2026 7:51:32 PM,Woodmark Custom,,Etsy,6.98,9.22,34.87,24.19,1.46,34.87,1,
4053544969,5/4/2026 8:33:52 PM,SenaCustomStore,,Etsy,13.30,20.60,109.44,80.50,8.34,109.44,2,
4048339192,5/4/2026 8:33:13 PM,Woodmark Custom,,Etsy,5.48,7.42,34.22,24.19,2.61,34.22,1,
4053544903,5/4/2026 8:33:49 PM,Woodmark Custom,,Etsy,6.25,6.98,29.14,20.25,1.91,29.14,1,
4048340428,5/4/2026 8:34:46 PM,Woodmark Custom,,Etsy,5.48,7.42,28.94,19.79,1.73,28.94,1,
4048277070,5/4/2026 7:21:20 PM,Woodmark Custom,,Etsy,5.40,6.98,38.24,28.59,2.67,38.24,1,
4048337828,5/4/2026 8:31:46 PM,Woodmark Custom,,Etsy,5.62,7.60,39.55,28.59,3.08,39.27,1,
4048356830,5/4/2026 8:52:38 PM,Woodmark Custom,,Etsy,12.20,12.20,69.72,52.41,5.11,69.72,1,
4048272554,5/4/2026 7:15:49 PM,CuteArtCustomDesign,,Etsy,6.13,5.99,12.86,6.30,0.57,12.86,1,
4048350386,5/4/2026 8:45:28 PM,Devran Custom Design,,Etsy,5.48,5.48,25.96,18.36,2.12,25.96,1,
4053561187,5/4/2026 8:51:17 PM,Devran Custom Design,,Etsy,5.48,5.48,23.58,15.96,2.14,23.58,1,
4048328618,5/4/2026 8:21:16 PM,Devran Custom Design,,Etsy,5.48,5.48,23.16,15.96,1.72,23.16,1,
4053579985,5/4/2026 9:12:03 PM,Etched Elegance Shop,,Etsy,6.70,6.88,28.04,19.59,1.57,28.04,1,
4053583957,5/4/2026 9:16:34 PM,Woodmark Custom,,Etsy,9.33,12.55,88.35,69.39,6.13,88.07,1,
4053580941,5/4/2026 9:13:01 PM,Woodmark Custom,,Etsy,5.40,6.98,28.64,19.79,1.87,28.64,1,
4048390392,5/4/2026 9:32:00 PM,Etched Elegance Shop,,Etsy,7.52,8.18,29.30,19.59,1.53,29.30,1,
4048401982,5/4/2026 9:46:35 PM,Etched Elegance Shop,,Etsy,6.98,7.38,27.63,18.44,1.81,27.63,1,
4048415406,5/4/2026 10:04:16 PM,Marbella Custom Gifts,,Etsy,6.65,6.70,28.57,20.25,1.62,28.57,1,
4048382940,5/4/2026 9:23:02 PM,Marbella Custom Gifts,,Etsy,7.96,9.14,30.92,20.25,1.25,30.64,1,
4053633055,5/4/2026 10:19:22 PM, Velvet Whiskey Design,,Etsy,7.60,7.60,20.33,11.02,1.43,20.05,1,
4048415726,5/4/2026 10:04:45 PM, Velvet Whiskey Design,,Etsy,9.58,12.22,96.42,77.14,7.06,96.42,7,
4053610029,5/4/2026 9:47:55 PM,Woodmark Custom,,Etsy,6.37,7.42,30.47,21.46,1.59,30.47,1,
4053633041,5/4/2026 10:19:21 PM,Woodmark Custom,,Etsy,8.53,12.82,35.50,19.79,2.61,35.22,1,
4053642693,5/4/2026 10:33:24 PM,Woodmark Custom,,Etsy,7.52,11.50,33.36,19.79,2.07,33.36,1,
4048385134,5/4/2026 9:25:38 PM,Woodmark Custom,,Etsy,6.37,7.42,28.78,20.25,1.11,28.78,1,
4048404896,5/4/2026 9:50:16 PM,Woodmark Custom,,Etsy,5.48,7.42,28.40,19.79,1.19,28.40,1,
4053601379,5/4/2026 9:37:14 PM,Woodmark Custom,,Etsy,6.69,6.88,40.63,31.48,2.27,40.63,1,
4048410432,5/4/2026 9:57:28 PM,Woodmark Custom,,Etsy,5.48,7.42,34.26,24.19,2.65,34.26,1,
4048455882,5/4/2026 11:07:03 PM,Etched Elegance Shop,,Etsy,7.68,23.90,146.22,113.15,9.17,146.22,5,
4048453046,5/4/2026 11:01:54 PM,Etched Elegance Shop,,Etsy,6.25,6.98,37.26,28.17,2.11,37.26,1,
4053659379,5/4/2026 11:00:43 PM,Woodmark Custom,,Etsy,7.77,7.77,63.32,52.41,3.14,63.32,1,
4053666133,5/4/2026 11:13:10 PM,Woodmark Custom,,Etsy,5.72,7.80,29.31,19.79,1.72,29.31,1,
4053679799,5/4/2026 11:41:35 PM,YemlihaDesign,,Etsy,9.37,9.58,114.05,95.78,8.69,114.05,2,
4048492282,5/5/2026 12:29:11 AM,Devran Custom Design,,Etsy,5.97,5.97,23.53,15.96,1.60,23.53,1,
4053681515,5/4/2026 11:45:16 PM,Woodmark Custom,,Etsy,5.97,8.13,25.97,15.39,2.45,25.97,1,
4048488030,5/5/2026 12:17:58 AM,Woodmark Custom,,Etsy,5.64,7.30,23.92,15.39,1.23,23.92,1,
4048522972,5/5/2026 2:01:55 AM,Woodmark Custom,,Etsy,6.36,8.40,34.59,24.19,2.00,34.59,1,
4052929573,5/4/2026 10:27:15 AM,Woodmark Custom,,Etsy,10.63,0.00,915.47,715.50,0.00,715.50,1,
4053748195,5/5/2026 3:04:39 AM,Devran Custom Design,,Etsy,7.90,8.06,33.16,23.04,2.06,33.16,1,
4053744627,5/5/2026 2:52:44 AM,Woodmark Custom,,Etsy,5.40,6.98,29.58,19.79,2.81,29.58,1,
4048556604,5/5/2026 3:47:08 AM, Velvet Whiskey Design,,Etsy,10.30,11.68,81.28,63.08,6.52,81.28,4,
4048598976,5/5/2026 5:41:16 AM,Woodmark Custom,,Etsy,6.37,7.42,29.95,20.25,2.28,29.95,1,
4048612266,5/5/2026 6:09:44 AM,Woodmark Custom,,Etsy,6.25,6.98,34.61,24.70,2.93,34.61,1,
4048611156,5/5/2026 6:07:24 AM,Woodmark Custom,,Etsy,5.40,6.98,28.38,19.79,1.61,28.38,1,
4053842667,5/5/2026 7:04:32 AM,YemlihaDesign,,Etsy,7.69,8.18,58.94,47.89,2.87,58.94,1,
4048667466,5/5/2026 7:41:56 AM,YemlihaDesign,,Etsy,6.36,6.37,17.44,10.08,0.99,17.44,1,
4053855317,5/5/2026 7:25:08 AM,Woodmark Custom,,Etsy,5.40,6.98,28.71,19.79,1.94,28.71,1,
4048664296,5/5/2026 7:37:53 AM,Woodmark Custom,,Etsy,12.20,12.20,68.94,52.41,4.33,68.94,1,
4053850311,5/5/2026 7:17:18 AM,Etched Elegance Shop,,Etsy,11.50,12.06,33.49,19.35,2.08,33.49,1,
4048690652,5/5/2026 8:12:14 AM,YemlihaDesign,,Etsy,7.69,8.18,59.06,47.89,2.99,59.06,1,
4048715860,5/5/2026 8:42:05 AM,Etched Elegance Shop,,Etsy,6.00,6.65,27.82,19.35,1.82,27.82,1,
4048711900,5/5/2026 8:37:45 AM,Etched Elegance Shop,,Etsy,7.86,11.58,32.37,18.44,2.07,32.09,1,
4053895035,5/5/2026 8:19:52 AM,Lumina Custom Design,,Etsy,6.24,6.24,17.35,10.26,0.85,17.35,1,
4048722048,5/5/2026 8:48:41 AM, Velvet Whiskey Design,,Etsy,6.56,6.56,51.42,41.50,3.36,51.42,1,
4053902829,5/5/2026 8:29:23 AM,Woodmark Custom,,Etsy,6.95,8.13,35.11,24.70,2.28,35.11,1,
4048751988,5/5/2026 9:20:18 AM,Woodmark Custom,,Etsy,5.48,7.42,34.38,24.19,2.77,34.38,1,
4053953321,5/5/2026 9:25:28 AM,Woodmark Custom,,Etsy,5.48,7.42,29.45,19.79,2.24,29.45,1,
4053961813,5/5/2026 9:34:34 AM,Devran Custom Design,,Etsy,7.02,7.38,92.34,78.12,6.84,92.34,7,
4054007101,5/5/2026 10:19:52 AM,Etched Elegance Shop,,Etsy,7.02,7.38,43.02,32.64,3.00,43.02,1,
4054039541,5/5/2026 10:50:15 AM,Lumina Custom Design,,Etsy,5.73,5.73,17.19,10.26,1.20,17.19,1,
4048804580,5/5/2026 10:12:27 AM,Etched Elegance Shop,,Etsy,6.88,8.01,60.39,48.96,3.42,60.39,1,
4048803722,5/5/2026 10:11:44 AM, Velvet Whiskey Design,,Etsy,8.18,8.18,38.79,28.88,1.73,38.79,1,
4048850408,5/5/2026 10:57:15 AM,Etched Elegance Shop,,Etsy,6.37,8.18,29.04,19.35,1.51,29.04,1,
4053980125,5/5/2026 9:52:53 AM, Velvet Whiskey Design,,Etsy,7.38,7.77,43.79,33.06,2.96,43.79,1,
4053968873,5/5/2026 9:41:57 AM,Woodmark Custom,,Etsy,5.40,9.22,35.58,24.19,2.17,35.58,1,
4054002771,5/5/2026 10:15:27 AM,Woodmark Custom,,Etsy,5.40,6.98,28.86,19.79,2.09,28.86,1,
4053989517,5/5/2026 10:02:04 AM,Woodmark Custom,,Etsy,5.28,6.65,33.85,24.19,3.01,33.85,1,
4054007893,5/5/2026 10:20:38 AM,Woodmark Custom,,Etsy,5.48,7.42,34.33,24.19,2.72,34.33,1,
4048819584,5/5/2026 10:26:43 AM,Woodmark Custom,,Etsy,5.48,7.42,33.19,24.19,1.58,33.19,1,
4054028519,5/5/2026 10:40:05 AM,Woodmark Custom,,Etsy,5.17,6.44,23.36,15.39,1.53,23.36,1,
4054046991,5/5/2026 10:57:00 AM,Woodmark Custom,,Etsy,5.40,6.98,24.16,15.39,1.79,24.16,1,
4048837186,5/5/2026 10:44:02 AM,Woodmark Custom,,Etsy,5.97,8.13,34.68,24.19,2.36,34.68,1,
4048851216,5/5/2026 10:58:00 AM,Etched Elegance Shop,,Etsy,6.37,7.42,31.29,23.87,0.00,31.29,1,
4054062725,5/5/2026 11:11:42 AM,Woodmark Custom,,Etsy,6.25,6.98,28.87,20.25,1.64,28.87,1,
4054085063,5/5/2026 11:32:38 AM,Lumina Custom Design,,Etsy,11.21,12.55,99.15,79.04,7.56,99.15,8,
4054090257,5/5/2026 11:37:25 AM,Woodmark Custom,,Etsy,5.40,6.98,28.64,19.79,1.87,28.64,1,
4048872870,5/5/2026 11:19:34 AM,Woodmark Custom,,Etsy,6.10,6.52,29.25,20.25,2.48,29.25,1,
4048895796,5/5/2026 11:41:07 AM,Custom Gift by FTM,,Etsy,7.39,0.00,24.80,22.60,2.20,24.80,1,
4054072887,5/5/2026 11:21:09 AM,SenaCustomStore,,Etsy,14.31,14.31,58.08,40.25,3.52,58.08,1,
4048901286,5/5/2026 11:46:10 AM,Woodmark Custom,,Etsy,5.97,8.13,29.45,19.79,1.53,29.45,1,
4048923412,5/5/2026 12:07:04 PM,YemlihaDesign,,Etsy,6.33,6.88,59.70,47.89,4.93,59.70,1,
4054136631,5/5/2026 12:20:46 PM,Custom Gift by FTM,,Etsy,7.02,0.00,39.39,35.73,3.66,39.39,1,
4048928464,5/5/2026 12:11:55 PM, Velvet Whiskey Design,,Etsy,9.79,10.12,169.51,147.56,11.83,169.51,1,
4054114861,5/5/2026 12:00:09 PM,Marbella Custom Gifts,,Etsy,5.48,5.89,23.09,15.39,1.81,23.09,1,
4048923090,5/5/2026 12:06:45 PM,Etched Elegance Shop,,Etsy,6.25,6.98,27.01,18.15,1.88,27.01,1,
4054107691,5/5/2026 11:53:39 AM,Etched Elegance Shop,,Etsy,7.78,14.35,138.88,114.24,10.29,138.88,1,
4054107201,5/5/2026 11:53:12 AM,Woodmark Custom,,Etsy,5.28,6.65,33.00,24.19,2.16,33.00,1,
4054114481,5/5/2026 11:59:47 AM,Woodmark Custom,,Etsy,5.40,6.98,28.78,19.79,2.01,28.78,1,
4054166549,5/5/2026 12:48:25 PM,Devran Custom Design,,Etsy,7.99,8.15,33.06,23.04,1.87,33.06,1,
4054187923,5/5/2026 1:07:43 PM,YemlihaDesign,,Etsy,6.36,6.37,30.78,22.50,1.91,30.78,1,
4054190007,5/5/2026 1:09:36 PM, Velvet Whiskey Design,,Etsy,8.18,8.18,48.34,36.89,3.27,48.34,1,
4054205065,5/5/2026 1:22:48 PM,Woodmark Custom,,Etsy,5.72,7.80,34.22,24.19,2.23,34.22,1,
4054212187,5/5/2026 1:28:44 PM,YemlihaDesign,,Etsy,6.41,6.77,41.52,32.40,2.35,41.52,3,
4049011282,5/5/2026 1:27:49 PM, Velvet Whiskey Design,,Etsy,5.40,5.40,20.43,14.17,0.86,20.43,1,
4054232633,5/5/2026 1:46:28 PM,Lumina Custom Design,,Etsy,5.97,5.97,16.94,9.88,1.09,16.94,1,
4049032832,5/5/2026 1:47:39 PM,Woodmark Custom,,Etsy,5.48,7.42,31.61,24.19,0.00,31.61,1,
4054256367,5/5/2026 2:06:13 PM,YemlihaDesign,,Etsy,8.07,9.94,34.50,21.55,2.73,34.22,1,
4054247813,5/5/2026 1:59:08 PM,SenaCustomStore,,Etsy,14.31,14.31,57.68,40.25,3.12,57.68,1,
4054252341,5/5/2026 2:02:55 PM,Woodmark Custom,,Etsy,5.40,6.98,24.11,15.39,1.74,24.11,1,
4054273039,5/5/2026 2:20:26 PM,Woodmark Custom,,Etsy,10.99,9.79,340.48,300.44,30.25,340.48,14,
4054261585,5/5/2026 2:10:48 PM,Woodmark Custom,,Etsy,5.24,6.52,27.89,19.79,1.58,27.89,1,
4054284105,5/5/2026 2:29:56 PM,Lumina Custom Design,,Etsy,14.31,20.39,84.59,64.20,0.00,84.59,1,
4049073010,5/5/2026 2:24:58 PM,Woodmark Custom,,Etsy,5.97,8.13,24.71,15.39,1.19,24.71,1,
4054285303,5/5/2026 2:30:59 PM,Marbella Custom Gifts,,Etsy,8.76,10.01,33.44,20.25,3.18,33.44,1,
4049098176,5/5/2026 2:48:01 PM,YemlihaDesign,,Etsy,8.40,10.80,35.76,21.55,3.41,35.76,1,
4049087746,5/5/2026 2:38:23 PM, Velvet Whiskey Design,,Etsy,8.03,8.74,103.93,88.16,7.03,103.93,7,
4047209395,5/5/2026 3:33:34 PM,Lumina Custom Design,,Etsy,7.42,7.42,24.76,33.99,1.02,42.43,1,
4049134662,5/5/2026 3:21:55 PM,YemlihaDesign,,Etsy,9.23,9.56,115.24,99.70,5.98,115.24,4,
4054342025,5/5/2026 3:20:26 PM,YemlihaDesign,,Etsy,7.69,8.18,31.52,21.55,1.79,31.52,1,
4054326317,5/5/2026 3:06:26 PM,Etched Elegance Shop,,Etsy,13.45,33.48,309.28,259.68,16.12,309.28,1,
4054325213,5/5/2026 3:05:23 PM,Etched Elegance Shop,,Etsy,6.37,8.18,29.97,19.35,2.44,29.97,1,
4054316547,5/5/2026 2:58:01 PM,Etched Elegance Shop,,Etsy,8.12,8.13,32.88,22.20,2.55,32.88,1,
4054340455,5/5/2026 3:19:01 PM,Woodmark Custom,,Etsy,6.95,8.13,36.21,24.70,3.38,36.21,1,
4049142780,5/5/2026 3:29:48 PM,Woodmark Custom,,Etsy,7.31,7.31,63.30,52.41,3.58,63.30,1,
4049166430,5/5/2026 3:53:05 PM,Woodmark Custom,,Etsy,5.40,6.98,24.50,15.39,2.13,24.50,1,
4042568484,5/5/2026 4:00:51 PM,Lumina Custom Design,,Etsy,6.58,9.14,30.68,51.98,1.79,62.91,1,
4054421113,5/5/2026 4:36:28 PM,SenaCustomStore,,Etsy,20.12,76.89,558.57,-11.54,31.62,96.97,1,
4054421113,5/5/2026 4:36:28 PM,SenaCustomStore,,Etsy,20.12,0.00,558.57,461.60,0.00,461.60,1,
4049268310,5/5/2026 5:50:38 PM,Custom Gift by FTM,,Etsy,8.49,0.00,38.68,35.73,2.95,38.68,1,
4054478819,5/5/2026 5:43:14 PM,Etched Elegance Shop,,Etsy,13.83,24.44,233.34,525.58,17.78,567.80,2,
4049230038,5/5/2026 5:02:59 PM,YemlihaDesign,,Etsy,13.48,15.16,108.95,86.20,7.59,108.95,4,
4054415609,5/5/2026 4:30:53 PM,YemlihaDesign,,Etsy,7.69,8.18,37.05,26.05,2.82,37.05,1,
4054454055,5/5/2026 5:13:30 PM, Velvet Whiskey Design,,Etsy,7.38,7.77,46.91,36.48,2.66,46.91,1,
4049217352,5/5/2026 4:48:01 PM, Velvet Whiskey Design,,Etsy,6.37,6.37,22.19,14.44,1.38,22.19,1,
4049251602,5/5/2026 5:29:24 PM, Velvet Whiskey Design,,Etsy,8.13,8.13,24.34,14.38,1.83,24.34,1,
4049248298,5/5/2026 5:25:14 PM,Lumina Custom Design,,Etsy,8.18,8.18,53.89,42.18,3.53,53.89,3,
4049214546,5/5/2026 4:44:57 PM,Woodmark Custom,,Etsy,6.25,6.98,29.58,21.46,1.14,29.58,1,
4049229014,5/5/2026 5:01:46 PM,Woodmark Custom,,Etsy,7.77,7.77,63.33,52.41,3.15,63.33,1,
4054501759,5/5/2026 6:12:24 PM,Devran Custom Design,,Etsy,7.02,7.38,58.26,48.00,2.88,58.26,3,
4054496469,5/5/2026 6:05:34 PM,Woodmark Custom,,Etsy,5.97,8.13,32.32,24.19,0.00,32.32,1,
4049289076,5/5/2026 6:16:17 PM,Custom Gift by FTM,,Etsy,7.39,0.00,24.49,22.60,1.89,24.49,1,
4054518119,5/5/2026 6:32:57 PM,SenaCustomStore,,Etsy,8.56,8.56,52.23,40.25,3.42,52.23,1,
4054513775,5/5/2026 6:27:36 PM,Woodmark Custom,,Etsy,7.56,7.56,58.78,47.37,3.85,58.78,1,
4054511907,5/5/2026 6:25:10 PM,Woodmark Custom,,Etsy,5.97,8.13,24.94,15.39,1.42,24.94,1,
4054542723,5/5/2026 7:03:07 PM,SenaCustomStore,,Etsy,10.30,10.30,53.90,40.25,3.35,53.90,1,
4054522681,5/5/2026 6:38:45 PM,Etched Elegance Shop,,Etsy,8.45,23.74,268.86,229.90,15.22,268.86,11,
4054543485,5/5/2026 7:04:01 PM, Velvet Whiskey Design,,Etsy,8.74,9.95,34.19,22.04,2.20,34.19,1,
4054537815,5/5/2026 6:57:01 PM, Velvet Whiskey Design,,Etsy,6.25,6.25,19.29,12.30,0.74,19.29,1,
4049310268,5/5/2026 6:42:43 PM,Woodmark Custom,,Etsy,9.67,9.67,60.89,47.37,3.85,60.89,1,
4037059819,5/5/2026 7:07:01 PM, Velvet Whiskey Design,,Etsy,9.95,12.27,254.33,588.00,18.62,618.89,1,
4049330098,5/5/2026 7:06:55 PM,Devran Custom Design,,Etsy,5.89,8.18,33.03,22.19,2.66,33.03,1,
4054573867,5/5/2026 7:41:31 PM,SenaCustomStore,,Etsy,14.31,14.31,58.59,40.25,4.03,58.59,1,
4049353946,5/5/2026 7:35:33 PM,Etched Elegance Shop,,Etsy,10.50,25.62,226.55,188.10,12.83,226.55,9,
4054571471,5/5/2026 7:38:31 PM,Lumina Custom Design,,Etsy,6.52,0.00,17.63,16.32,1.31,17.63,1,
4049331282,5/5/2026 7:08:29 PM,Lumina Custom Design,,Etsy,5.89,5.89,17.18,10.26,1.03,17.18,1,
4054563599,5/5/2026 7:28:40 PM,Lumina Custom Design,,Etsy,8.01,8.01,70.83,59.26,3.56,70.83,4,
4054572537,5/5/2026 7:39:54 PM,Lumina Custom Design,,Etsy,6.36,6.36,16.93,9.88,0.69,16.93,1,
4049365072,5/5/2026 7:48:40 PM,Woodmark Custom,,Etsy,6.37,7.42,30.38,21.46,1.50,30.38,1,
4054549145,5/5/2026 7:11:05 PM,Woodmark Custom,,Etsy,6.52,7.69,31.19,21.46,2.04,31.19,1,
4054553761,5/5/2026 7:16:39 PM,Woodmark Custom,,Etsy,5.40,6.98,38.15,28.59,2.58,38.15,1,
4054567265,5/5/2026 7:33:24 PM,Woodmark Custom,,Etsy,6.37,7.42,34.25,24.70,2.13,34.25,1,
4054555033,5/5/2026 7:18:12 PM,Woodmark Custom,,Etsy,5.48,7.42,29.62,19.79,2.41,29.62,1,
4054624215,5/5/2026 8:40:58 PM,Devran Custom Design,,Etsy,6.37,6.37,50.81,40.68,3.76,50.81,3,
4054594829,5/5/2026 8:06:50 PM,Devran Custom Design,,Etsy,5.48,5.48,22.73,15.96,1.29,22.73,1,
4049392008,5/5/2026 8:18:57 PM, Velvet Whiskey Design,,Etsy,16.25,23.36,157.74,126.16,8.22,157.74,5,
4049386712,5/5/2026 8:12:57 PM, Velvet Whiskey Design,,Etsy,6.37,6.37,22.53,14.44,1.72,22.53,1,
4049406170,5/5/2026 8:34:59 PM,Woodmark Custom,,Etsy,5.48,7.42,24.81,15.39,2.00,24.81,1,
4049411868,5/5/2026 8:41:22 PM,Woodmark Custom,,Etsy,5.28,0.00,31.39,28.60,2.79,31.39,1,
4054610067,5/5/2026 8:24:40 PM,Woodmark Custom,,Etsy,6.25,6.98,29.41,20.25,2.18,29.41,1,
4049470538,5/5/2026 9:53:22 PM,Devran Custom Design,,Etsy,9.85,9.79,151.94,134.10,8.05,151.94,9,
4054666535,5/5/2026 9:32:54 PM,Devran Custom Design,,Etsy,9.37,9.95,68.01,53.76,4.30,68.01,1,
4049463454,5/5/2026 9:43:47 PM,Marbella Custom Gifts,,Etsy,6.73,7.04,29.06,20.25,1.77,29.06,1,
4049445954,5/5/2026 9:21:41 PM,Etched Elegance Shop,,Etsy,6.17,6.88,29.72,20.90,1.94,29.72,1,
4049430450,5/5/2026 9:02:50 PM, Velvet Whiskey Design,,Etsy,9.12,9.79,116.87,99.18,7.90,116.87,8,
4054675271,5/5/2026 9:44:55 PM, Velvet Whiskey Design,,Etsy,8.13,8.13,19.15,11.02,0.00,19.15,1,
4054641403,5/5/2026 9:01:20 PM,Woodmark Custom,,Etsy,5.48,7.42,29.42,19.79,2.21,29.42,1,
4054659127,5/5/2026 9:23:26 PM,Woodmark Custom,,Etsy,6.39,7.46,31.02,21.46,2.10,31.02,1,
4027632208,5/5/2026 10:18:53 PM,Etched Elegance Shop,,Etsy,5.72,0.00,0.00,0.00,0.00,0.00,0,
4049477104,5/5/2026 10:02:30 PM,Etched Elegance Shop,,Etsy,8.76,10.80,36.66,23.89,1.97,36.66,1,
4049472076,5/5/2026 9:55:30 PM,Etched Elegance Shop,,Etsy,9.22,9.56,31.33,19.72,2.05,31.33,1,
4049523258,5/5/2026 11:16:11 PM,Custom Gift by FTM,,Etsy,7.39,0.00,23.84,22.60,1.24,23.84,1,
4049509362,5/5/2026 10:50:44 PM,YemlihaDesign,,Etsy,8.40,10.80,34.56,21.55,2.21,34.56,1,
4054720829,5/5/2026 10:56:36 PM,Etched Elegance Shop,,Etsy,9.08,10.63,80.19,65.01,4.55,80.19,3,
4054721549,5/5/2026 10:57:57 PM,Etched Elegance Shop,,Etsy,6.37,8.18,30.82,20.90,1.74,30.82,1,
4054724767,5/5/2026 11:04:05 PM,Etched Elegance Shop,,Etsy,6.37,8.18,31.48,20.90,2.40,31.48,1,
4054699287,5/5/2026 10:20:39 PM,Woodmark Custom,,Etsy,5.48,7.42,24.58,15.39,1.77,24.58,1,
4049472036,5/5/2026 9:55:27 PM,Woodmark Custom,,Etsy,13.04,13.04,83.88,65.14,5.70,83.88,1,
4049503178,5/5/2026 10:41:01 PM,Woodmark Custom,,Etsy,5.40,6.98,28.91,19.79,2.14,28.91,1,
4049514374,5/5/2026 10:59:23 PM,Woodmark Custom,,Etsy,5.97,8.13,35.23,24.19,2.91,35.23,1,
4049492862,5/5/2026 10:25:04 PM,Woodmark Custom,,Etsy,5.48,7.42,29.59,19.79,2.38,29.59,1,
4049532724,5/5/2026 11:34:57 PM,Devran Custom Design,,Etsy,5.40,5.40,22.96,15.96,1.60,22.96,1,
4049534886,5/5/2026 11:39:42 PM,Woodmark Custom,,Etsy,5.72,7.80,29.39,19.79,1.80,29.39,1,
4054760407,5/6/2026 12:28:46 AM,Woodmark Custom,,Etsy,12.87,12.87,62.27,49.40,0.00,62.27,2,
4049535824,5/5/2026 11:41:37 PM,Woodmark Custom,,Etsy,6.25,6.98,33.59,24.70,1.91,33.59,1,
4049565928,5/6/2026 12:57:13 AM,Etched Elegance Shop,,Etsy,6.95,10.80,33.76,20.90,2.06,33.76,1,
4054774437,5/6/2026 1:11:19 AM,Lumina Custom Design,,Etsy,6.07,6.07,16.98,10.26,0.65,16.98,1,
4049631180,5/6/2026 4:10:21 AM,Marbella Custom Gifts,,Etsy,7.42,8.06,29.58,20.25,1.27,29.58,1,
4049663178,5/6/2026 5:36:06 AM,Woodmark Custom,,Etsy,7.52,11.50,29.24,15.39,2.35,29.24,1,
4054854775,5/6/2026 5:23:49 AM,Woodmark Custom,,Etsy,5.48,7.42,24.69,15.39,1.88,24.69,1,
4049706238,5/6/2026 7:02:05 AM,Custom Gift by FTM,,Etsy,5.40,0.00,24.41,23.03,1.38,24.41,1,
4054878275,5/6/2026 6:18:21 AM, Velvet Whiskey Design,,Etsy,6.25,6.25,19.92,12.54,1.13,19.92,1,
